Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;597;-27.97802;-25.50998;3;48;CREATED;;
0;598;-28.23507;12.05046;3;48;CREATED;;
0;599;-10.42289;-31.60995;3;48;CREATED;;
0;600;21.13267;-20.80532;3;48;CREATED;;
0;601;33.98436;5.833565;3;48;CREATED;;
24.625;597;-27.97802;-25.50998;3;48;DISCOVER;0;
27.8125;597;-27.97802;-25.50998;3;47;EXTRACT;0;
29.8125;597;-27.97802;-25.50998;3;46;EXTRACT;0;
31.8125;597;-27.97802;-25.50998;3;45;EXTRACT;0;
33.8125;597;-27.97802;-25.50998;3;44;EXTRACT;0;
35.75;597;-27.97802;-25.50998;3;43;EXTRACT;0;
37.75;597;-27.97802;-25.50998;3;42;EXTRACT;0;
39.8125;597;-27.97802;-25.50998;3;41;EXTRACT;0;
41.75;597;-27.97802;-25.50998;3;41;DISCOVER;3;
41.8125;597;-27.97802;-25.50998;3;40;EXTRACT;0;
43.8125;597;-27.97802;-25.50998;3;39;EXTRACT;0;
44.625;597;-27.97802;-25.50998;3;38;EXTRACT;3;
45.8125;597;-27.97802;-25.50998;3;37;EXTRACT;0;
46.625;597;-27.97802;-25.50998;3;36;EXTRACT;3;
47.8125;597;-27.97802;-25.50998;3;35;EXTRACT;0;
48.5625;597;-27.97802;-25.50998;3;34;EXTRACT;3;
49.5625;597;-27.97802;-25.50998;3;34;DISCOVER;1;
49.75;597;-27.97802;-25.50998;3;33;EXTRACT;0;
50.5625;597;-27.97802;-25.50998;3;32;EXTRACT;3;
51.75;597;-27.97802;-25.50998;3;31;EXTRACT;0;
52.5625;597;-27.97802;-25.50998;3;30;EXTRACT;3;
53.6875;597;-27.97802;-25.50998;3;29;EXTRACT;1;
53.8125;597;-27.97802;-25.50998;3;28;EXTRACT;0;
54.5625;597;-27.97802;-25.50998;3;27;EXTRACT;3;
55.6875;597;-27.97802;-25.50998;3;26;EXTRACT;1;
55.8125;597;-27.97802;-25.50998;3;25;EXTRACT;0;
56.625;597;-27.97802;-25.50998;3;24;EXTRACT;3;
57.625;597;-27.97802;-25.50998;3;23;EXTRACT;1;
57.8125;597;-27.97802;-25.50998;3;22;EXTRACT;0;
58.5625;597;-27.97802;-25.50998;3;21;EXTRACT;3;
59.6875;597;-27.97802;-25.50998;3;20;EXTRACT;1;
59.75;597;-27.97802;-25.50998;3;19;EXTRACT;0;
60.5625;597;-27.97802;-25.50998;3;18;EXTRACT;3;
