Time;PlayerID;PositionX;PositionZ;ForwardX;ForwardZ;Velocity;IsExtracting;IsAllowedToMove;WaitingForExtraction;CoinAmount;VisiblePlayers;
0.01159668;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.06164551;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.0949707;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.1282959;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.1783447;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.2116699;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.2617188;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.2950439;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.3283691;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.3782959;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.4116211;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.4616699;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.4949951;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.5283203;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.5783691;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.6116943;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.6617432;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.6950684;0;38.33791;44.79253;0.7255273;0.6881934;0;False;True;False;320;( );
0.7283936;0;38.33791;44.79253;0.7281855;0.68538;0;False;True;False;320;( );
0.7784424;0;38.33791;44.79253;0.7477285;0.6640046;0;False;True;False;320;( );
0.8116455;0;38.33791;44.79253;0.7669262;0.6417353;0;False;True;False;320;( );
0.8616943;0;38.33791;44.79253;0.8000631;0.5999158;0;False;True;False;320;( );
0.8950195;0;38.33791;44.79253;0.8232153;0.5677294;0;False;True;False;320;( );
0.9283447;0;38.33791;44.79253;0.8462273;0.5328222;0;False;True;False;320;( );
0.9783936;0;38.33791;44.79253;0.8791502;0.4765447;0;False;True;False;320;( );
1.011719;0;38.33791;44.79253;0.8995309;0.436857;0;False;True;False;320;( );
1.061646;0;38.33791;44.79253;0.9271089;0.3747922;0;False;True;False;320;( );
1.095093;0;38.33791;44.79253;0.9433026;0.3319342;0;False;True;False;320;( );
1.128418;0;38.33791;44.79253;0.9575646;0.288219;0;False;True;False;320;( );
1.178345;0;38.33791;44.79253;0.9752311;0.2211883;0;False;True;False;320;( );
1.21167;0;38.33791;44.79253;0.9844294;0.1757806;0;False;True;False;320;( );
1.261719;0;38.33791;44.79253;0.9942711;0.1068876;0;False;True;False;320;( );
