Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;71;36.0199;24.64621;3;48;CREATED;;
0;72;-28.50306;-26.0226;3;48;CREATED;;
0;73;39.32838;31.4298;3;48;CREATED;;
0;74;22.31234;42.62212;3;48;CREATED;;
0;75;-41.62417;10.85033;3;48;CREATED;;
56.52002;73;39.32838;31.4298;3;48;DISCOVER;0;
59.52856;73;39.32838;31.4298;3;47;EXTRACT;0;
61.52869;73;39.32838;31.4298;3;46;EXTRACT;0;
63.52869;73;39.32838;31.4298;3;45;EXTRACT;0;
65.52869;73;39.32838;31.4298;3;44;EXTRACT;0;
67.52881;73;39.32838;31.4298;3;43;EXTRACT;0;
69.52893;73;39.32838;31.4298;3;42;EXTRACT;0;
71.52893;73;39.32838;31.4298;3;41;EXTRACT;0;
73.52905;73;39.32838;31.4298;3;40;EXTRACT;0;
75.52917;73;39.32838;31.4298;3;39;EXTRACT;0;
77.54578;73;39.32838;31.4298;3;38;EXTRACT;0;
79.5459;73;39.32838;31.4298;3;37;EXTRACT;0;
81.5459;73;39.32838;31.4298;3;36;EXTRACT;0;
83.54602;73;39.32838;31.4298;3;35;EXTRACT;0;
85.54602;73;39.32838;31.4298;3;34;EXTRACT;0;
87.54614;73;39.32838;31.4298;3;33;EXTRACT;0;
89.54614;73;39.32838;31.4298;3;32;EXTRACT;0;
91.54626;73;39.32838;31.4298;3;31;EXTRACT;0;
93.54626;73;39.32838;31.4298;3;30;EXTRACT;0;
95.54639;73;39.32838;31.4298;3;29;EXTRACT;0;
97.54639;73;39.32838;31.4298;3;28;EXTRACT;0;
99.54651;73;39.32838;31.4298;3;27;EXTRACT;0;
101.5465;73;39.32838;31.4298;3;26;EXTRACT;0;
103.5466;73;39.32838;31.4298;3;25;EXTRACT;0;
105.5466;73;39.32838;31.4298;3;24;EXTRACT;0;
107.5468;73;39.32838;31.4298;3;23;EXTRACT;0;
109.5468;73;39.32838;31.4298;3;22;EXTRACT;0;
111.5469;73;39.32838;31.4298;3;21;EXTRACT;0;
113.547;73;39.32838;31.4298;3;20;EXTRACT;0;
115.547;73;39.32838;31.4298;3;19;EXTRACT;0;
117.5471;73;39.32838;31.4298;3;18;EXTRACT;0;
119.5471;73;39.32838;31.4298;3;17;EXTRACT;0;
121.5472;73;39.32838;31.4298;3;16;EXTRACT;0;
123.5472;73;39.32838;31.4298;3;15;EXTRACT;0;
125.5474;73;39.32838;31.4298;3;14;EXTRACT;0;
127.5474;73;39.32838;31.4298;3;13;EXTRACT;0;
129.5474;73;39.32838;31.4298;3;12;EXTRACT;0;
131.5475;73;39.32838;31.4298;3;11;EXTRACT;0;
133.5476;73;39.32838;31.4298;3;10;EXTRACT;0;
135.5476;73;39.32838;31.4298;3;9;EXTRACT;0;
137.5477;73;39.32838;31.4298;3;8;EXTRACT;0;
139.5477;73;39.32838;31.4298;3;7;EXTRACT;0;
141.5479;73;39.32838;31.4298;3;6;EXTRACT;0;
143.5479;73;39.32838;31.4298;3;5;EXTRACT;0;
145.548;73;39.32838;31.4298;3;4;EXTRACT;0;
147.548;73;39.32838;31.4298;3;3;EXTRACT;0;
149.5481;73;39.32838;31.4298;3;2;EXTRACT;0;
151.5481;73;39.32838;31.4298;3;1;EXTRACT;0;
153.5482;73;39.32838;31.4298;3;0;EXTRACT;0;
153.5482;73;39.32838;31.4298;3;0;DESTROYED;;
153.5648;76;-25.97789;-5.435802;3;48;CREATED;;
514.4;75;-41.62417;10.85033;3;48;DISCOVER;0;
517.3763;75;-41.62417;10.85033;3;47;EXTRACT;0;
519.3763;75;-41.62417;10.85033;3;46;EXTRACT;0;
521.3766;75;-41.62417;10.85033;3;45;EXTRACT;0;
523.3766;75;-41.62417;10.85033;3;44;EXTRACT;0;
525.3766;75;-41.62417;10.85033;3;43;EXTRACT;0;
527.3766;75;-41.62417;10.85033;3;42;EXTRACT;0;
529.3768;75;-41.62417;10.85033;3;41;EXTRACT;0;
531.3768;75;-41.62417;10.85033;3;40;EXTRACT;0;
533.3768;75;-41.62417;10.85033;3;39;EXTRACT;0;
535.3768;75;-41.62417;10.85033;3;38;EXTRACT;0;
537.3771;75;-41.62417;10.85033;3;37;EXTRACT;0;
539.3771;75;-41.62417;10.85033;3;36;EXTRACT;0;
541.3771;75;-41.62417;10.85033;3;35;EXTRACT;0;
543.3771;75;-41.62417;10.85033;3;34;EXTRACT;0;
545.3773;75;-41.62417;10.85033;3;33;EXTRACT;0;
547.3773;75;-41.62417;10.85033;3;32;EXTRACT;0;
549.3773;75;-41.62417;10.85033;3;31;EXTRACT;0;
551.3773;75;-41.62417;10.85033;3;30;EXTRACT;0;
553.3776;75;-41.62417;10.85033;3;29;EXTRACT;0;
555.3776;75;-41.62417;10.85033;3;28;EXTRACT;0;
557.3776;75;-41.62417;10.85033;3;27;EXTRACT;0;
559.3778;75;-41.62417;10.85033;3;26;EXTRACT;0;
561.3778;75;-41.62417;10.85033;3;25;EXTRACT;0;
563.3778;75;-41.62417;10.85033;3;24;EXTRACT;0;
565.3778;75;-41.62417;10.85033;3;23;EXTRACT;0;
567.3781;75;-41.62417;10.85033;3;22;EXTRACT;0;
